geoid,complaints_count,Unnamed: 0,name,total_population,poc_percent,female_pop_percent,poverty_level_percent,over_65_percent,total_crashes,complaints_per_capita,crashes_per_capita
36005009301,722,65.0,"Census Tract 93.01, Bronx, NY",4928.0,83.5836038961039,52.67857142857143,34.719967532467535,6.696428571428571,425.0,0.14650974025974026,0.08624188311688312
36005009302,683,66.0,"Census Tract 93.02, Bronx, NY",566.0,81.2720848056537,0.0,0.0,1.7667844522968197,402.0,1.2067137809187278,0.7102473498233216
36005051601,627,359.0,"Census Tract 516.01, Bronx, NY",4417.0,23.047317183608783,48.811410459587954,6.1580258093728775,24.722662440570524,128.0,0.14195155082635272,0.028978944985284128
36081093800,601,2066.0,"Census Tract 938, Queens, NY",5289.0,25.39232369067877,52.78880695783702,16.808470410285498,26.734732463603702,117.0,0.11363206655322367,0.02212138400453772
36085019800,576,2289.0,"Census Tract 198, Richmond, NY",7733.0,9.142635458424932,52.334152334152336,8.948661580240527,13.035044613991982,93.0,0.07448596922281132,0.01202638044743308
36081089201,560,2052.0,"Census Tract 892.01, Queens, NY",9069.0,8.32506340280075,50.38041680449884,5.8220310949388026,23.552762156797883,270.0,0.06174881464329033,0.029771749917300694
36005011800,548,73.0,"Census Tract 118, Bronx, NY",6041.0,26.154610163880157,40.73828836285383,6.786955802019533,11.00811123986095,43.0,0.09071345803674888,0.007118026816752193
36005009600,538,67.0,"Census Tract 96, Bronx, NY",2762.0,79.79724837074583,52.136133236784936,14.735698769007966,21.65097755249819,170.0,0.1947863866763215,0.06154960173787111
36005016000,495,101.0,"Census Tract 160, Bronx, NY",3891.0,26.98535080956053,51.88897455666924,12.41326137239784,17.39912618864045,54.0,0.1272166538164996,0.013878180416345412
36005009000,487,63.0,"Census Tract 90, Bronx, NY",3693.0,73.30083942594096,60.059572163552666,32.331437855402115,13.430815055510426,293.0,0.13187110750067696,0.07933929054968861
36005001600,481,3.0,"Census Tract 16, Bronx, NY",6038.0,83.50447167936403,58.39682013911892,15.750248426631336,19.16197416363034,117.0,0.07966213978138456,0.01937727724412057
36005027401,478,207.0,"Census Tract 274.01, Bronx, NY",5148.0,20.454545454545453,50.77700077700078,3.71017871017871,15.054390054390057,83.0,0.09285159285159285,0.016122766122766124
36005020000,449,130.0,"Census Tract 200, Bronx, NY",5147.0,84.51525160287547,49.91257042937634,24.13056149213134,8.89838741014183,223.0,0.08723528268894502,0.043326209442393626
36005013200,444,83.0,"Census Tract 132, Bronx, NY",7288.0,60.85345773874863,46.15806805708013,6.682217343578485,13.062568605927552,82.0,0.06092206366630077,0.011251372118551043
36085002100,442,2211.0,"Census Tract 21, Richmond, NY",4854.0,50.32962505150392,45.46765554182118,23.279769262463947,9.332509270704572,267.0,0.09105892047795633,0.0550061804697157
36047110400,441,1110.0,"Census Tract 1104, Kings, NY",4811.0,95.98836000831427,52.67096237788402,20.931199334857617,16.420702556641032,823.0,0.09166493452504677,0.17106630638120973
36005026400,431,199.0,"Census Tract 264, Bronx, NY",6643.0,54.31281047719404,56.55577299412916,12.690049676351046,13.6986301369863,133.0,0.06488032515429776,0.020021074815595362
36085020803,430,2293.0,"Census Tract 208.03, Richmond, NY",8451.0,4.141521713406697,44.91776121169092,10.81528813158206,16.175600520648445,83.0,0.05088155247899657,0.009821322920364453
36005022200,423,154.0,"Census Tract 222, Bronx, NY",3169.0,91.132849479331,49.28999684443042,23.982328810350268,8.3622593878195,145.0,0.1334805932470811,0.045755758914484065
36085029102,421,2317.0,"Census Tract 291.02, Richmond, NY",3322.0,39.97591812161349,42.5948223961469,10.53582179409994,6.953642384105961,256.0,0.1267308850090307,0.07706201083684527
36081047900,419,1823.0,"Census Tract 479, Queens, NY",5829.0,92.2628238119746,51.672671127123,15.148395951278092,11.425630468347917,104.0,0.07188196946302967,0.017841825355978728
36005042600,416,327.0,"Census Tract 426, Bronx, NY",7223.0,97.06493146891872,50.17305828603074,8.196040426415617,18.565692925377267,214.0,0.05759379759102866,0.02962757856846186
36005031000,412,231.0,"Census Tract 310, Bronx, NY",4507.0,58.26492123363656,51.475482582649214,5.435988462391835,34.03594408697582,134.0,0.09141335700022188,0.029731528733081873
36005035800,412,260.0,"Census Tract 358, Bronx, NY",8758.0,90.2717515414478,52.46631651061886,9.625485270609728,16.636218314683717,237.0,0.047042703813656085,0.027060972824845854
36005034800,411,256.0,"Census Tract 348, Bronx, NY",6196.0,90.25177533892834,52.56617172369271,27.21110393802453,13.298902517753389,180.0,0.06633311814073596,0.029051000645577793
36005018400,406,121.0,"Census Tract 184, Bronx, NY",4057.0,39.758442198668966,53.04412127187577,8.972146906581218,13.729356667488291,87.0,0.10007394626571359,0.021444417056938624
36047062800,403,917.0,"Census Tract 628, Kings, NY",5009.0,17.588340986224797,49.13156318626472,7.8259133559592735,17.36873627470553,105.0,0.08045518067478538,0.020962267917748054
36005048401,398,356.0,"Census Tract 484.01, Bronx, NY",4213.0,94.32708283883218,51.36482316638975,4.794683123664847,10.06408734868265,271.0,0.09446949916923807,0.06432470923332542
36085018901,394,2286.0,"Census Tract 189.01, Richmond, NY",5216.0,27.37730061349693,50.30674846625767,2.147239263803681,21.817484662576685,195.0,0.07553680981595091,0.037384969325153374
36085013203,383,2250.0,"Census Tract 132.03, Richmond, NY",6684.0,17.070616397366845,48.29443447037702,7.615200478755236,16.54697785757032,89.0,0.05730101735487732,0.01331538001196888
36005011502,381,70.0,"Census Tract 115.02, Bronx, NY",4210.0,90.97387173396676,50.3562945368171,41.25890736342043,12.209026128266034,234.0,0.09049881235154394,0.05558194774346793
