geoid,name,B29001001,"B29001001, Error",B29001002,"B29001002, Error",B29001003,"B29001003, Error",B29001004,"B29001004, Error",B29001005,"B29001005, Error"
14000US36047037700,"Census Tract 377, Kings, NY",3796,447,892,235,1121,217,1061,260,722,210
14000US36047037900,"Census Tract 379, Kings, NY",3498,586,675,196,979,241,1058,223,786,335
14000US36047038100,"Census Tract 381, Kings, NY",4088,464,921,256,1372,322,1139,234,656,242
14000US36047038200,"Census Tract 382, Kings, NY",3786,643,591,261,751,355,1673,485,771,337
14000US36047038300,"Census Tract 383, Kings, NY",4333,624,1026,258,1343,361,1342,347,622,177
14000US36047038500,"Census Tract 385, Kings, NY",3479,1006,1190,719,846,229,795,238,648,343
14000US36047038600,"Census Tract 386, Kings, NY",2058,635,628,416,360,101,716,216,354,108
14000US36047038700,"Census Tract 387, Kings, NY",2880,623,768,222,923,221,908,433,281,86
14000US36047038800,"Census Tract 388, Kings, NY",2935,635,538,216,795,345,1084,498,518,137
14000US36047038900,"Census Tract 389, Kings, NY",2255,431,793,308,699,205,516,273,247,65
14000US36047039000,"Census Tract 390, Kings, NY",1511,241,300,107,378,125,373,97,460,92
14000US36047039100,"Census Tract 391, Kings, NY",2809,426,1002,306,1240,346,338,229,229,153
14000US36047039200,"Census Tract 392, Kings, NY",2093,419,436,140,490,240,836,262,331,134
14000US36047039300,"Census Tract 393, Kings, NY",3022,507,1676,502,611,166,580,182,155,72
14000US36047039400,"Census Tract 394, Kings, NY",1269,207,301,93,197,96,352,105,419,102
14000US36047039500,"Census Tract 395, Kings, NY",3076,536,678,265,1392,425,684,224,322,155
14000US36047039600,"Census Tract 396, Kings, NY",1524,415,425,221,311,88,535,225,253,71
14000US36047039700,"Census Tract 397, Kings, NY",2081,464,709,276,661,227,423,166,288,116
14000US36047039800,"Census Tract 398, Kings, NY",1678,334,273,107,423,158,656,217,326,95
14000US36047039900,"Census Tract 399, Kings, NY",3137,496,1171,227,648,216,848,270,470,234
14000US36047040000,"Census Tract 400, Kings, NY",1904,499,285,115,391,110,833,390,395,125
14000US36047040100,"Census Tract 401, Kings, NY",2367,419,812,233,660,185,529,138,366,318
14000US36047040200,"Census Tract 402, Kings, NY",1892,300,393,150,509,111,557,120,433,244
14000US36047040300,"Census Tract 403, Kings, NY",3232,494,1155,327,761,254,899,228,417,119
14000US36047040400,"Census Tract 404, Kings, NY",1647,235,326,98,375,102,678,154,268,67
14000US36047040500,"Census Tract 405, Kings, NY",1235,337,478,203,447,248,194,84,116,62
14000US36047040600,"Census Tract 406, Kings, NY",2214,430,645,280,563,249,580,127,426,157
14000US36047040700,"Census Tract 407, Kings, NY",0,13,0,13,0,13,0,13,0,13
14000US36047040800,"Census Tract 408, Kings, NY",2465,582,511,222,490,155,933,392,531,252
14000US36047040900,"Census Tract 409, Kings, NY",2741,448,810,229,923,253,676,152,332,245
14000US36047041000,"Census Tract 410, Kings, NY",1139,248,152,101,455,186,276,99,256,84
14000US36047041100,"Census Tract 411, Kings, NY",2347,443,674,235,676,204,576,190,421,181
14000US36047041200,"Census Tract 412, Kings, NY",1828,263,426,215,446,171,551,152,405,113
14000US36047041300,"Census Tract 413, Kings, NY",2757,614,976,377,549,190,686,341,546,187
14000US36047041401,"Census Tract 414.01, Kings, NY",866,214,138,102,211,92,359,119,158,67
